executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url
12906,Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure,04/13/1994,04/11/1994,59 FR 17671, 94-9117,"Amended by: EO 13286, February 28, 2003",https://www.federalregister.gov/articles/1994/04/13/94-9117/coordinating-geographic-data-acquisition-and-access-the-national-spatial-data-infrastructure
12907,Amending Executive Order No. 12882,04/18/1994,04/14/1994,59 FR 18291, 94-9419,"Amends: EO 12882, November 23, 1993;
;  Revoked by: EO 13226, September 30, 2001",https://www.federalregister.gov/articles/1994/04/18/94-9419/amending-executive-order-no-12882
12908,Order of Succession of Officers To Act as Secretary of the Army,04/26/1994,04/22/1994,59 FR 21907, 94-10241,"",https://www.federalregister.gov/articles/1994/04/26/94-10241/order-of-succession-of-officers-to-act-as-secretary-of-the-army
12909,Order of Succession of Officers To Act as Secretary of the Air Force,04/26/1994,04/22/1994,59 FR 21909, 94-10242,"",https://www.federalregister.gov/articles/1994/04/26/94-10242/order-of-succession-of-officers-to-act-as-secretary-of-the-air-force
12910,"Providing for the Closing of Government Departments and agencies on April 27, 1994",04/26/1994,04/23/1994,59 FR 21915, 94-10249,Note: In memoriam of President Nixon,https://www.federalregister.gov/articles/1994/04/26/94-10249/providing-for-the-closing-of-government-departments-and-agencies-on-april-27-1994
12911,Safety and Security Zone; Lake MichiganChicago HarborBurnham Park Harbor,05/27/1994,04/25/1994,59 FR 22121, 94-13090,"",https://www.federalregister.gov/articles/1994/05/27/94-13090/safety-and-security-zone-lake-michiganchicago-harborburnham-park-harbor
12912,Amendment to Executive Order No. 12878,05/03/1994,04/29/1994,59 FR 22949, 94-10794,"Amends: EO 12878, November 5, 1993;
;  See EO 12974, September 29, 1995",https://www.federalregister.gov/articles/1994/05/03/94-10794/amendment-to-executive-order-no-12878
12913,Revocation of Executive Order No. 12582,05/04/1994,05/02/1994,59 FR 23115, 94-10932,"Revokes: EO 12582, February 2, 1987",https://www.federalregister.gov/articles/1994/05/04/94-10932/revocation-of-executive-order-no-12582
12914,Prohibiting Certain Transactions With Respect to Haiti,05/10/1994,05/07/1994,59 FR 24339, 94-11547,"Revoked by: EO 12932, October 14, 1994;
;  See: 59 FR 25809; 59 FR 26333; 59 FR 32744; EO 12922, June 21, 1994; 59 FR 51066; Notice of September 30, 1994",https://www.federalregister.gov/articles/1994/05/10/94-11547/prohibiting-certain-transactions-with-respect-to-haiti
12915,Federal Implementation of the North American Agreement on Environmental Cooperation,05/18/1994,05/13/1994,59 FR 25775, 94-12275,"",https://www.federalregister.gov/articles/1994/05/18/94-12275/federal-implementation-of-the-north-american-agreement-on-environmental-cooperation
12916,Implementation of the Border Environment Cooperation Commission and the North American Development Bank,05/18/1994,05/13/1994,59 FR 25779, 94-12284,"Amended by: EO 13380, June 17, 2005",https://www.federalregister.gov/articles/1994/05/18/94-12284/implementation-of-the-border-environment-cooperation-commission-and-the-north-american-development
12917,Prohibiting Certain Transactions With Respect to Haiti,05/24/1994,05/21/1994,59 FR 26925, 94-12880,"Revokes in part: EO 12779, October 28, 1991; EO 12853, June 30, 1993;
;  Revoked by: EO 12932, October 14, 1994;
;  See: EO 12920, June 10, 1994; 59 FR 51066;
;  Amended by: Notice, September 30, 1994",https://www.federalregister.gov/articles/1994/05/24/94-12880/prohibiting-certain-transactions-with-respect-to-haiti
12918,Prohibiting Certain Transactions With Respect to Rwanda and Delegating Authority With Respect to Other United Nations Arms Embargoes,05/31/1994,05/26/1994,59 FR 28205, 94-13391,See: 59 FR 28583,https://www.federalregister.gov/articles/1994/05/31/94-13391/prohibiting-certain-transactions-with-respect-to-rwanda-and-delegating-authority-with-respect-to
12919,National Defense Industrial Resources Preparedness,06/07/1994,06/03/1994,59 FR 29525, 94-14027,"Amends: EO 10789, November 14, 1958; EO 11790, June 25, 1974;
;  Amended by: EO 13286, February 28, 2003;
;  Revoked in part by: EO 13456, January 23, 2008;
;  Supersedes or Revokes: EO 8248, September 8, 1939 (in part); EO 10222, March 8, 1951; EO 10480, August 14, 1953; EO 10647, November 28, 1955; EO 11179, September 22, 1964; EO 11355, May 26, 1967; EO 11912, April 13, 1976 (in part); EO 12148, July 20, 1979 (in part); EO 12521, June 24, 1985; EO 12649, August 11, 1988; EO 12773, September 26, 1991 (in part)",https://www.federalregister.gov/articles/1994/06/07/94-14027/national-defense-industrial-resources-preparedness
12920,Prohibiting Certain Transactions With Respect to Haiti,06/14/1994,06/10/1994,59 FR 30501, 94-14582,"Revoked by: EO 12932, October 14, 1994;
;  See: Notice, September 30, 1994; 59 FR 51066",https://www.federalregister.gov/articles/1994/06/14/94-14582/prohibiting-certain-transactions-with-respect-to-haiti
12921,Amendment to Executive Order No. 12864,06/15/1994,06/13/1994,59 FR 30667, 94-14728,"Amends: 12864, September 15, 1993;
;  Revoked by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1994/06/15/94-14728/amendment-to-executive-order-no-12864
12922,Blocking Property of Certain Haitian Nationals,06/23/1994,06/21/1994,59 FR 32645, 94-15498,"Revoked by: EO 12932, October 14, 1994;
;  See: Notice, September 30, 1994; 59 FR 51066",https://www.federalregister.gov/articles/1994/06/23/94-15498/blocking-property-of-certain-haitian-nationals
12923,Continuation of Export Control Regulations,07/05/1994,06/30/1994,59 FR 34551, 94-16403,"Revoked by: EO 12924, August 19, 1994;
;  See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993",https://www.federalregister.gov/articles/1994/07/05/94-16403/continuation-of-export-control-regulations
12924,Ronald E. McNair Postbaccalaureate Achievement Program; Final Rule DEPARTMENT OF EDUCATION,08/25/1994,08/19/1994,59 FR 43437, 94-20892,"Revokes: EO 12923, June 30, 1994;
;  Continued by: Notice of August 15, 1995; Notice of August 14, 1996; Notice of August 13, 1997; Notice of August 13, 1998; Notice of August 10, 1999;
;  Revoked by: EO 13206, April 4, 2001;
;  See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993; EO 12981, December 5, 1995; EO 13020, October 12, 1996; Notice of August 3, 2000",https://www.federalregister.gov/articles/1994/08/25/94-20892/ronald-e-mcnair-postbaccalaureate-achievement-program-final-rule-department-of-education
12925,Establishing an Emergency Board To Investigate a Dispute Between the Soo Line Railroad Company and Certain of Its Employees Represented by the United Transportation Union,08/31/1994,08/29/1994,59 FR 45181, 94-21738,"",https://www.federalregister.gov/articles/1994/08/31/94-21738/establishing-an-emergency-board-to-investigate-a-dispute-between-the-soo-line-railroad-company-and
12926,Implementation of the National Voter Registration Act of 1993,09/14/1994,09/12/1994,59 FR 47227, 94-22969,"",https://www.federalregister.gov/articles/1994/09/14/94-22969/implementation-of-the-national-voter-registration-act-of-1993
12927,Ordering the Selected Reserve of the Armed Forces to Active Duty,09/19/1994,09/15/1994,59 FR 47781, 94-23273,"",https://www.federalregister.gov/articles/1994/09/19/94-23273/ordering-the-selected-reserve-of-the-armed-forces-to-active-duty
12928,"Promoting Procurement With Small Businesses Owned and Controlled by Socially and Economically Disadvantaged Individuals, Historically Black Colleges and Universities, and Minority Institutions",09/20/1994,09/16/1994,59 FR 48377, 94-23453,"",https://www.federalregister.gov/articles/1994/09/20/94-23453/promoting-procurement-with-small-businesses-owned-and-controlled-by-socially-and-economically
12929,Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves,10/03/1994,09/29/1994,59 FR 50473, 94-24589,"",https://www.federalregister.gov/articles/1994/10/03/94-24589/delegation-of-authority-regarding-the-naval-petroleum-and-oil-shale-reserves
12930,Measures To Restrict the Participation by United States Persons in Weapons Proliferation Activities,10/03/1994,09/29/1994,59 FR 50475, 94-24617,"Revoked by: EO 12938, November 14, 1994",https://www.federalregister.gov/articles/1994/10/03/94-24617/measures-to-restrict-the-participation-by-united-states-persons-in-weapons-proliferation-activities
12931,Federal Procurement Reform,10/17/1994,10/13/1994,59 FR 52387, 94-25837,"Revokes: EO 12352, March 17, 1982",https://www.federalregister.gov/articles/1994/10/17/94-25837/federal-procurement-reform
12932,Termination of Emergency With Respect to Haiti,10/18/1994,10/14/1994,59 FR 52403, 94-25940,"Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994",https://www.federalregister.gov/articles/1994/10/18/94-25940/termination-of-emergency-with-respect-to-haiti
12933,"National Mammography Day, 1994",10/24/1994,10/20/1994,59 FR 53559, 94-26517,"Revoked by: EO 13204, February 17, 2001;
;  See: Final Rule of May 16, 1997 (62 FR 28176)",https://www.federalregister.gov/articles/1994/10/24/94-26517/national-mammography-day-1994
12934,Blocking Property and Additional Measures With Respect to the Bosnian Serb-Controlled Areas of the Republic of Bosnia and Herzegovina,10/27/1994,10/25/1994,59 FR 54117, 94-26834,"See: Pres. Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice of May 28, 1997; Notice of May 25, 2000; Notice of May 24, 2001;
;  Revoked by: EO 13304, May 28, 2003",https://www.federalregister.gov/articles/1994/10/27/94-26834/blocking-property-and-additional-measures-with-respect-to-the-bosnian-serb-controlled-areas-of-the
12935,Amending Executive Order No. 11157 as it Relates to the Definition of ``Field Duty'',10/31/1994,10/28/1994,59 FR 54511, 94-27135,"Amends: EO 11157, June 22, 1964",https://www.federalregister.gov/articles/1994/10/31/94-27135/amending-executive-order-no-11157-as-it-relates-to-the-definition-of-field-duty
12936,"Executive Order 12936Amendments to the Manual for Courts-Martial, United States, 1984",11/15/1994,11/10/1994,59 FR 59075, 94-28430,"Amends: EO 12473, April 13, 1984;
;  See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12960, May 12, 1995; EO 13086, May 27, 1998; EO 13140, October 6, 1999",https://www.federalregister.gov/articles/1994/11/15/94-28430/executive-order-12936amendments-to-the-manual-for-courts-martial-united-states-1984
12937,Declassification of Selected Records Within the National Archives of the United States,11/15/1994,11/10/1994,59 FR 59097, 94-28431,"",https://www.federalregister.gov/articles/1994/11/15/94-28431/declassification-of-selected-records-within-the-national-archives-of-the-united-states
12938,Proliferation of Weapons of Mass Destruction,11/16/1994,11/14/1994,59 FR 59099, 94-28487,"",https://www.federalregister.gov/articles/1994/11/16/94-28487/proliferation-of-weapons-of-mass-destruction
12939,Expedited Naturalization of Aliens and Noncitizen Nationals Who Served in an Active-Duty Status During the Persian Gulf Conflict,11/29/1994,11/22/1994,59 FR 61231, 94-29541,"Revokes: EO 12735, November 16, 1990; EO 12930, September 29, 1994;
;  Amended by: EO 13094, July 28, 1998; EO 13128, June 25, 1999; EO 13382, June 28, 2005;
;  See: Notice of November 8, 1995; Notice of November 12, 1996; Notice of November 12, 1997; Notice of November 12, 1998; Notice of November 10, 1999; Notice of November 9, 2000; EO 13159, June 21, 2000; EO 13206, April 4, 2001; Notice of November 9, 2001; Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009",https://www.federalregister.gov/articles/1994/11/29/94-29541/expedited-naturalization-of-aliens-and-noncitizen-nationals-who-served-in-an-active-duty-status
12940,Amendment to Civil Service Rule VI,11/30/1994,11/28/1994,59 FR 61519, 94-29663,"Supersedes: EO 12300, March 23, 1981",https://www.federalregister.gov/articles/1994/11/30/94-29663/amendment-to-civil-service-rule-vi
12941,Seismic Safety of Existing Federally Owned or Leased Buildings,12/05/1994,12/01/1994,59 FR 62545, 94-30035,"",https://www.federalregister.gov/articles/1994/12/05/94-30035/seismic-safety-of-existing-federally-owned-or-leased-buildings
12942,"Addition to Level V of the Executive Schedule Commissioner, Administration for Native Americans",12/15/1994,12/12/1994,59 FR 64551, 94-30997,"",https://www.federalregister.gov/articles/1994/12/15/94-30997/addition-to-level-v-of-the-executive-schedule-commissioner-administration-for-native-americans
12943,Further Amendment to Executive Order No. 11755,12/15/1994,12/13/1994,59 FR 64553, 94-30998,"Amends: EO 11755, December 29, 1973",https://www.federalregister.gov/articles/1994/12/15/94-30998/further-amendment-to-executive-order-no-11755
12944,Adjustments of Certain Rates of Pay and Allowances,01/03/1995,12/28/1994,60 FR 309, 94-32388,"Supersedes: EO 12826 of December 30, 1992; EO 12886 of December 13, 1993;
;  Superseded by: EO 12984 of December 28, 1995;
;  Executive Order 12945 ;
;  Amendment to Executive Order No. 12640;
;  Signed: January 20, 1995;
;  Federal Register page and date: 60 FR 4527; January 24, 1995;
;  Amends: EO 12640, May 10, 1988",https://www.federalregister.gov/articles/1995/01/03/94-32388/adjustments-of-certain-rates-of-pay-and-allowances
12945,Amendment to Executive Order No. 12640,01/24/1995,01/20/1995,60 FR 4527, 95-1877,"",https://www.federalregister.gov/articles/1995/01/24/95-1877/amendment-to-executive-order-no-12640
12946,President's Advisory Board on Arms Proliferation Policy,01/24/1995,01/20/1995,60 FR 4829, 95-1925,"Revoked by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1995/01/24/95-1925/presidents-advisory-board-on-arms-proliferation-policy
12947,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process,01/25/1995,01/23/1995,60 FR 5079, X95-110125,"Amended by: EO 13099, August 20, 1998; EO 13371, February 16, 2005;
;  Continued by: Notice of January 18, 1996; Notice of January 21, 1997; Notice of January 21, 1998; Notice of January 19, 2000;
;  See: Notice of January 3, 1996; Notice of January 19, 2001; Notice of January 18, 2002; Notice of January 20, 2003; Notice of January 16, 2004; January 17, 2005; Notice of January 18, 2006; Notice of January 18, 2007; Notice of January 18, 2008; Notice of January 15, 2009; Notice of January 20, 2010",https://www.federalregister.gov/articles/1995/01/25/X95-110125/prohibiting-transactions-with-terrorists-who-threaten-to-disrupt-the-middle-east-peace-process
12948,Amendment to Executive Order No. 12898,02/01/1995,01/30/1995,60 FR 6381, 95-2687,"Amends: EO 12898, February 11, 1994",https://www.federalregister.gov/articles/1995/02/01/95-2687/amendment-to-executive-order-no-12898
12949,Foreign Intelligence Physical Searches,02/13/1995,02/09/1995,60 FR 8169, 95-3671,"Amended by: EO 13475, October 7, 2008",https://www.federalregister.gov/articles/1995/02/13/95-3671/foreign-intelligence-physical-searches
12950,Establishing an Emergency Board To Investigate a Dispute Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations,02/27/1995,02/22/1995,60 FR 10475, 95-4908,"Amended by: EO 12952, February 24, 1995",https://www.federalregister.gov/articles/1995/02/27/95-4908/establishing-an-emergency-board-to-investigate-a-dispute-between-metro-north-commuter-railroad-and
12951,Release of Imagery Acquired by Space-Based National Intelligence Reconnaissance Systems,02/28/1995,02/22/1995,60 FR 10789, 95-5050,"",https://www.federalregister.gov/articles/1995/02/28/95-5050/release-of-imagery-acquired-by-space-based-national-intelligence-reconnaissance-systems
12952,Amendment to Executive Order No. 12950,02/28/1995,02/24/1995,60 FR 11011, 95-5129,"Amends: EO 12950, February 22, 1995",https://www.federalregister.gov/articles/1995/02/28/95-5129/amendment-to-executive-order-no-12950
12953,Actions Required of all Executive Agencies To Facilitate Payment of Child Support,02/28/1995,02/27/1995,60 FR 11013, 95-5146,"",https://www.federalregister.gov/articles/1995/02/28/95-5146/actions-required-of-all-executive-agencies-to-facilitate-payment-of-child-support
12954,Ensuring the Economical and Efficient Administration and Completion of Federal Government Contracts,03/10/1995,03/08/1995,60 FR 13023, 95-6121,"",https://www.federalregister.gov/articles/1995/03/10/95-6121/ensuring-the-economical-and-efficient-administration-and-completion-of-federal-government-contracts
12955,Nuclear Cooperation With EURATOM,03/10/1995,03/09/1995,60 FR 13365, 95-6211,"Supersedes: EO 12903, March 9, 1994",https://www.federalregister.gov/articles/1995/03/10/95-6211/nuclear-cooperation-with-euratom
12956,"Executive Order 12956 of March 13, 1995",03/15/1995,03/13/1995,60 FR 14199, 95-6588,"",https://www.federalregister.gov/articles/1995/03/15/95-6588/executive-order-12956-of-march-13-1995
12957,Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources,03/17/1995,03/15/1995,60 FR 14615, 95-6849,"Revoked in part and supplemented by: EO 12959, May 6, 1995;
;  Revoked in part by: EO 13059, August 19, 1997;
;  See: Notice of March 8, 1996; Notice of March 5, 1997; Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 13, 2002; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13553, September 28, 2010; EO 13574, May 23, 2011; EO 13590, November 20, 2011; EO 13606, April 22, 2012; EO 13608, May 1, 2012; EO 13622, July 30, 2012; EO 13628, October 9, 2012",https://www.federalregister.gov/articles/1995/03/17/95-6849/prohibiting-certain-transactions-with-respect-to-the-development-of-iranian-petroleum-resources
12958,Classified National Security Information,04/20/1995,04/17/1995,60 FR 19825, 95-9941,"Revokes: EO 12356, April 6, 1982;
;  Amended by: EO 12972, September 18, 1995; EO 13142, November 19, 1999; EO 13292, March 25, 2003;
;  Revoked by: EO 13526, December 29, 2009;
;  See: Order of October 13, 1995; Order of February 27, 1996; Order of February 26, 1997; Final rule of July 1, 1997 (62 FR 36984); EO 13231, October 16, 2001; Military order of November 13, 2001 (66 FR 57833); Order of December 10, 2001 (66 FR 64347); EO 13284, January 23, 2003; EO 13311, July 29, 2003; Order of September 17, 2003 (68 FR 55257); EO 13329, February 24, 2004; EO 13354, August 27, 2004; EO 13356, August 27, 2004; Order of April 21, 2005; EO 13387, October 14, 2005; EO 13388, October 25, 2005; EO 13462, February 29, 2008; EO 13467, June 30, 2008; EO 13470, July 30, 2008; EO 13516, October 28, 2009",https://www.federalregister.gov/articles/1995/04/20/95-9941/classified-national-security-information
12959,Prohibiting Certain Transactions With Respect to Iran,05/09/1995,05/06/1995,60 FR 24757, 95-11694,"Revokes in part and supplements: EO 12613, October 29, 1987;EO 12957, March 15, 1995;
;  Revoked in part by: EO 13059, August 19, 1997;
;  See: Notice of March 8, 1996; Notice of March 5, 1997; Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 13, 2002; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13628, October 9, 2012",https://www.federalregister.gov/articles/1995/05/09/95-11694/prohibiting-certain-transactions-with-respect-to-iran
12960,"Amendments to the Manual for Courts-Martial, United States, 1984",05/17/1995,05/12/1995,60 FR 26647, 95-12285,"",https://www.federalregister.gov/articles/1995/05/17/95-12285/amendments-to-the-manual-for-courts-martial-united-states-1984
12961,Presidential Advisory Committee on Gulf War Veterans' Illnesses,05/31/1995,05/26/1995,60 FR 28507, 95-13484,"",https://www.federalregister.gov/articles/1995/05/31/95-13484/presidential-advisory-committee-on-gulf-war-veterans-illnesses
12962,Recreational Fisheries,06/09/1995,06/07/1995,60 FR 30769, 95-14407,"Amended by: EO 13474, September 26, 2008 ",https://www.federalregister.gov/articles/1995/06/09/95-14407/recreational-fisheries
12963,Presidential Advisory Council on HIV/AIDS,06/16/1995,06/14/1995,60 FR 31905, 95-14983,"Amended by: EO 13009, June 14, 1996",https://www.federalregister.gov/articles/1995/06/16/95-14983/presidential-advisory-council-on-hivaids
12964,Commission on United States-Pacific Trade and Investment Policy,06/26/1995,06/21/1995,60 FR 33095, 95-15760,"Amended by: EO 12987, January 31, 1996; EO 13032, December 26, 1996;
;  Revoked by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1995/06/26/95-15760/commission-on-united-states-pacific-trade-and-investment-policy
12965,Further Amendment to Executive Order No. 12852,06/30/1995,06/27/1995,60 FR 34087, 95-16320,"Amends: EO 12852, June 29, 1993;
;  Note: EO 12965 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",https://www.federalregister.gov/articles/1995/06/30/95-16320/further-amendment-to-executive-order-no-12852
12966,Foreign Disaster Assistance,07/18/1995,07/14/1995,60 FR 36949, 95-17828,"",https://www.federalregister.gov/articles/1995/07/18/95-17828/foreign-disaster-assistance
12967,Establishing an Emergency Board To Investigate Disputes Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations,08/02/1995,07/31/1995,60 FR 39623, 95-19174,"",https://www.federalregister.gov/articles/1995/08/02/95-19174/establishing-an-emergency-board-to-investigate-disputes-between-metro-north-commuter-railroad-and
12968,Access to Classified Information,08/07/1995,08/02/1995,60 FR 40245, 95-19654,"Amended by: EO 13467, June 30, 2008;
;  See: Final rule of March 26, 1997 (62 FR 17683); Final rule of July 1, 1997 (62 FR 36984); EO 13284, January 23, 2003; EO 13311, July 29, 2003; EO 13462, February 29, 2008; EO 13516, October 28, 2009; EO 13539, April 21, 2010; EO 13549, August 18, 2010",https://www.federalregister.gov/articles/1995/08/07/95-19654/access-to-classified-information
12969,Federal Acquisition and Community Right-To-Know,08/10/1995,08/08/1995,60 FR 40989, 95-19972,"Revoked by: EO 13148, April 21, 2000;
;  See: EO 13101, September 14, 1998",https://www.federalregister.gov/articles/1995/08/10/95-19972/federal-acquisition-and-community-right-to-know
12970,Further Amendment to Executive Order No. 12864,09/18/1995,09/14/1995,60 FR 48359, 95-23338,"Amends: EO 12864, September 15, 1993;
;  Revoked by: EO 13062, September 29, 1997",https://www.federalregister.gov/articles/1995/09/18/95-23338/further-amendment-to-executive-order-no-12864
12971,Amendment to Executive Order No. 12425,09/19/1995,09/15/1995,60 FR 48617, 95-23423,"Amends: EO 12425, June 6, 1983",https://www.federalregister.gov/articles/1995/09/19/95-23423/amendment-to-executive-order-no-12425
12972,Amendment to Executive Order No. 12958,09/21/1995,09/18/1995,60 FR 48863, 95-23581,"Amends: EO 12958, April 17, 1995",https://www.federalregister.gov/articles/1995/09/21/95-23581/amendment-to-executive-order-no-12958
12973,Amendment to Executive Order No. 12901,10/02/1995,09/27/1995,60 FR 51665, 95-24649,"Amends: EO 12901, March 3, 1994",https://www.federalregister.gov/articles/1995/10/02/95-24649/amendment-to-executive-order-no-12901
