executive_order_number,title,publication_date,signing_date,citation,document_number,executive_order_notes,html_url,
13520,Reducing Improper Payments,11/25/09,11/20/09,74 FR 62201, E9-28493,,https://www.federalregister.gov/articles/2009/11/25/E9-28493/reducing-improper-payments,
13521,Establishing the Presidential Commission for the Study of Bioethical Issues,11/30/09,11/24/09,74 FR 62671, E9-28805,"See: EO 13591, November 23, 2011;
;  Supersedes: EO 13237, November 28, 2001",https://www.federalregister.gov/articles/2009/11/30/E9-28805/establishing-the-presidential-commission-for-the-study-of-bioethical-issues,
13522,Creating Labor-Management Forums to Improve Delivery of Government Services,12/14/09,12/9/09,74 FR 66203, E9-29781,"See: EO 13591, November 23, 2011",https://www.federalregister.gov/articles/2009/12/14/E9-29781/creating-labor-management-forums-to-improve-delivery-of-government-services,
13523,Correction,12/18/09,,74 FR 67049, Z9-30020,,https://www.federalregister.gov/articles/2009/12/18/Z9-30020/correction,
13524,"Amending Executive Order 12425 Designating Interpol as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities",12/21/09,12/16/09,74 FR 67803, E9-30413,"Amends: EO 12425, June 16, 1983",https://www.federalregister.gov/articles/2009/12/21/E9-30413/amending-executive-order-12425-designating-interpol-as-a-public-international-organization-entitled,
13525,Adjustments of Certain Rates of Pay,12/30/09,12/23/09,74 FR 69231, E9-31098,,https://www.federalregister.gov/articles/2009/12/30/E9-31098/adjustments-of-certain-rates-of-pay,
13526,Correction,1/8/10,,75 FR 1013, C1-2009-31418,,https://www.federalregister.gov/articles/2010/01/08/C1-2009-31418/correction,
13526,Classified National Security Information,1/5/10,12/29/10,75 FR 705, E9-31418,"Federal Register correction page and date: 75 FR 1013, January 8, 2010, Executive Order 13526 - Correction;
;  Revokes: EO 12958, April 17, 1995; EO 13292, March 25, 2003;
;  See: EO 12333, December 4, 1981; Memorandum of December 29, 2009 (75 FR 733); Order of December 29, 2009 (75 FR 735); EO 13549, August 18, 2010; EO 13556, November 4, 2010; EO 13618, July 6, 2012",https://www.federalregister.gov/articles/2010/01/05/E9-31418/classified-national-security-information,
13527,Establishing Federal Capability for the Timely Provision of Medical Countermeasures Following a Biological Attack,1/6/10,12/30/09,75 FR 737, 2010-38,,https://www.federalregister.gov/articles/2010/01/06/2010-38/establishing-federal-capability-for-the-timely-provision-of-medical-countermeasures-following-a,
13528,Establishment of the Council of Governors,1/14/10,1/11/10,75 FR 2053, 2010-705,,https://www.federalregister.gov/articles/2010/01/14/2010-705/establishment-of-the-council-of-governors,
13529,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty,1/21/10,1/16/10,75 FR 3331, 2010-1229,,https://www.federalregister.gov/articles/2010/01/21/2010-1229/ordering-the-selected-reserve-and-certain-individual-ready-reserve-members-of-the-armed-forces-to,
13530,President's Advisory Council on Financial Capability,2/3/10,1/29/10,75 FR 5481, 2010-2419,"Amended by: EO 13591, November 23, 2011",https://www.federalregister.gov/articles/2010/02/03/2010-2419/presidents-advisory-council-on-financial-capability,
13531,National Commission on Fiscal Responsibility and Reform,2/23/10,2/18/10,75 FR 7927, 2010-3725,,https://www.federalregister.gov/articles/2010/02/23/2010-3725/national-commission-on-fiscal-responsibility-and-reform,
13532,"Promoting Excellence, Innovation, and Sustainability at Historically Black Colleges and Universities",3/3/10,2/26/10,75 FR 9747, 2010-4593,"See: EO 13591, November 23, 2011;
;  Amended by: EO 13569, April 5, 2011;
;  Revokes: EO 13256, February 12, 2002;
;  See: EO 13591, November 23, 2011; EO 13621, July 26, 2012",https://www.federalregister.gov/articles/2010/03/03/2010-4593/promoting-excellence-innovation-and-sustainability-at-historically-black-colleges-and-universities,
13533,Providing an Order of Succession Within the Department of Defense,3/5/10,3/1/10,75 FR 10163, 2010-4884,"Revokes: EO 13394, December 22, 2005",https://www.federalregister.gov/articles/2010/03/05/2010-4884/providing-an-order-of-succession-within-the-department-of-defense,
13534,National Export Initiative,3/16/10,3/11/10,75 FR 12433, 2010-5837,"See: EO 12870, September 30, 1993; EO 13630, December 6, 2012",https://www.federalregister.gov/articles/2010/03/16/2010-5837/national-export-initiative,
13535,Ensuring Enforcement and Implementation of Abortion Restrictions in the Patient Protection and Affordable Care Act,3/29/10,3/24/10,75 FR 15597, 2010-7154,,https://www.federalregister.gov/articles/2010/03/29/2010-7154/ensuring-enforcement-and-implementation-of-abortion-restrictions-in-the-patient-protection-and,
13536,Blocking Property of Certain Persons Contributing to the Conflict in Somalia,4/15/10,4/12/10,75 FR 19869, 2010-8878,"See: EO 13620, July 20, 2012",https://www.federalregister.gov/articles/2010/04/15/2010-8878/blocking-property-of-certain-persons-contributing-to-the-conflict-in-somalia,
13537,Interagency Group on Insular Areas,4/19/10,4/14/10,75 FR 20237, 2010-9078,"Supersedes: EO 13299, May 8, 2003",https://www.federalregister.gov/articles/2010/04/19/2010-9078/interagency-group-on-insular-areas,
13538,Establishing the President's Management Advisory Board,4/22/10,4/19/10,75 FR 20895, 2010-9451,"See: EO 13591, November 23, 2011",https://www.federalregister.gov/articles/2010/04/22/2010-9451/establishing-the-presidents-management-advisory-board,
13539,President's Council of Advisors on Science and Technology,4/27/10,4/21/10,75 FR 21973, 2010-9796,"Revokes: EO 13226, September 30, 2001;
;  See: EO 12968, August 2, 1995; EO 13591, November 23, 2011;
;  Amended by: EO 13596, December 19, 2011",https://www.federalregister.gov/articles/2010/04/27/2010-9796/presidents-council-of-advisors-on-science-and-technology,
13540,Interagency Task Force on Veterans Small Business Development,4/29/10,4/26/10,75 FR 22497, 2010-10172,"Supersedes: EO 13299, May 8, 2003",https://www.federalregister.gov/articles/2010/04/29/2010-10172/interagency-task-force-on-veterans-small-business-development,
13541,Temporary Organization To Facilitate a Strategic Partnership With the Republic of Iraq,5/12/10,5/7/10,75 FR 26879, 2010-11557,,https://www.federalregister.gov/articles/2010/05/12/2010-11557/temporary-organization-to-facilitate-a-strategic-partnership-with-the-republic-of-iraq,
13542,Providing an Order of Succession Within the Department of Agriculture,5/18/10,5/13/10,75 FR 27921, 2010-12070,"Revokes: EO 13241, December 18, 2001",https://www.federalregister.gov/articles/2010/05/18/2010-12070/providing-an-order-of-succession-within-the-department-of-agriculture,
13543,National Commission on the BP Deepwater Horizon Oil Spill and Offshore Drilling,5/26/10,5/21/10,75 FR 29397, 2010-12805,,https://www.federalregister.gov/articles/2010/05/26/2010-12805/national-commission-on-the-bp-deepwater-horizon-oil-spill-and-offshore-drilling,
13544,"Establishing the National Prevention, Health Promotion, and Public Health Council",6/16/10,6/10/10,75 FR 33983, 2010-14613,"See: EO 13591, November 23, 2011; EO 13631, December 7, 2012",https://www.federalregister.gov/articles/2010/06/16/2010-14613/establishing-the-national-prevention-health-promotion-and-public-health-council,
13545,"President's Council on Fitness, Sports, and Nutrition",6/28/10,6/22/10,75 FR 37281, 2010-15851,"See: EO 10830, July 24, 1959",https://www.federalregister.gov/articles/2010/06/28/2010-15851/presidents-council-on-fitness-sports-and-nutrition,
13546,Optimizing the Security of Biological Select Agents and Toxins in the United States,7/8/10,7/2/10,75 FR 39437, 2010-16864,,https://www.federalregister.gov/articles/2010/07/08/2010-16864/optimizing-the-security-of-biological-select-agents-and-toxins-in-the-united-states,
13547,"Stewardship of the Ocean, Our Coasts, and the Great Lakes",7/22/10,7/19/10,75 FR 43021, 2010-18169,"Revokes: EO 13366, December 17, 2004",https://www.federalregister.gov/articles/2010/07/22/2010-18169/stewardship-of-the-ocean-our-coasts-and-the-great-lakes,
13549,"Classified National Security Information Program for State, Local, Tribal, and Private Sector Entities",8/23/10,8/18/10,75 FR 51609, 2010-21016,"See: EO 12333, December 4, 1981; EO 12829, January 6, 1993; EO 12968, August 2, 1995; EO 13467, June 30, 2008; EO 13526, December 29, 2009; EO 13591, November 23, 2011",https://www.federalregister.gov/articles/2010/08/23/2010-21016/classified-national-security-information-program-for-state-local-tribal-and-private-sector-entities,
13550,Establishment of Pakistan and Afghanistan Support Office,8/23/10,8/18/10,75 FR 51615, 2010-21020,,https://www.federalregister.gov/articles/2010/08/23/2010-21020/establishment-of-pakistan-and-afghanistan-support-office,
13552,[No title available],9/3/10,8/31/10,75 FR 54261, 2010-22279,"See: EO 12473, April 13, 1984",https://www.federalregister.gov/articles/2010/09/03/2010-22279/no-title-available,
13553,Blocking Property of Certain Persons With Respect to Serious Human Rights Abuses by the Government of Iran and Taking Certain Other Actions,10/1/10,9/28/10,75 FR 60567, 2010-24839,"See: EO 12957, March 15, 1995",https://www.federalregister.gov/articles/2010/10/01/2010-24839/blocking-property-of-certain-persons-with-respect-to-serious-human-rights-abuses-by-the-government,
13554,Establishing the Gulf Coast Ecosystem Restoration Task Force,10/8/10,10/5/10,75 FR 62313, 2010-25578,"See: EO 13626, September 10, 2012",https://www.federalregister.gov/articles/2010/10/08/2010-25578/establishing-the-gulf-coast-ecosystem-restoration-task-force,
13555,White House Initiative on Educational Excellence for Hispanics,10/22/10,10/19/10,75 FR 65415, 2010-27004,,https://www.federalregister.gov/articles/2010/10/22/2010-27004/white-house-initiative-on-educational-excellence-for-hispanics,
13556,Controlled Unclassified Information,11/9/10,11/4/10,75 FR 68675, 2010-28360,"Revokes: Memorandum of May 7, 2008;
;  See: EO 13526, December 29, 2009",https://www.federalregister.gov/articles/2010/11/09/2010-28360/controlled-unclassified-information,
13557,Providing an Order of Succession Within the Department of Justice,11/9/10,11/4/10,75 FR 68679, 2010-28365,"Revokes: EO 13481, December 9, 2008",https://www.federalregister.gov/articles/2010/11/09/2010-28365/providing-an-order-of-succession-within-the-department-of-justice,
13558,Export Enforcement Coordination Center,11/15/10,11/9/10,75 FR 69573, 2010-28854,,https://www.federalregister.gov/articles/2010/11/15/2010-28854/export-enforcement-coordination-center,
13559,Fundamental Principles and Policymaking Criteria for Partnerships With Faith-Based and Other Neighborhood Organizations,11/22/10,11/17/10,75 FR 71317, 2010-29579,"Amends: EO 13279, December 12, 2002;
;  See: EO 13198, January 29, 2001; EO 13199, January 29, 2001; EO 13498, February 5, 2009",https://www.federalregister.gov/articles/2010/11/22/2010-29579/fundamental-principles-and-policymaking-criteria-for-partnerships-with-faith-based-and-other,
13560,White House Council for Community Solutions,12/17/10,12/14/10,75 FR 78875, 2010-31878,,https://www.federalregister.gov/articles/2010/12/17/2010-31878/white-house-council-for-community-solutions,
13562,Recruiting and Hiring Students and Recent Graduates,12/30/10,12/27/10,75 FR 82583, 2010-33169,"Supersedes: EO 12015, October 26, 1977;
;  Revokes: EO 13318, November 21, 2003; EO 13162, July 6, 2000",https://www.federalregister.gov/articles/2010/12/30/2010-33169/recruiting-and-hiring-students-and-recent-graduates,
13563,Improving Regulation and Regulatory Review,1/21/11,1/18/11,76 FR 3821, 2011-1385,"See: EO 12866, September 30, 1993; EO 13579, July 11, 2011",https://www.federalregister.gov/articles/2011/01/21/2011-1385/improving-regulation-and-regulatory-review,
13564,Establishment of the President's Council on Jobs and Competitiveness,2/3/11,1/31/11,76 FR 6309, 2011-2577,"Revokes: EO 13501, February 6, 2009",https://www.federalregister.gov/articles/2011/02/03/2011-2577/establishment-of-the-presidents-council-on-jobs-and-competitiveness,
13565,Establishment of the Intellectual Property Enforcement Advisory Committees,2/11/11,2/8/11,76 FR 7681, 2011-3257,,https://www.federalregister.gov/articles/2011/02/11/2011-3257/establishment-of-the-intellectual-property-enforcement-advisory-committees,
13566,Blocking Property and Prohibiting Certain Transactions Related to Libya,3/2/11,2/25/11,76 FR 11315, 2011-4753,,https://www.federalregister.gov/articles/2011/03/02/2011-4753/blocking-property-and-prohibiting-certain-transactions-related-to-libya,
13567,Periodic Review of Individuals Detained at Guant[aacute]namo Bay Naval Station Pursuant to the Authorization for Use of Military Force,3/10/11,3/7/11,76 FR 13275, 2011-5728,"See: EO 13491, January 22, 2009; EO 13492, January 22, 2009",https://www.federalregister.gov/articles/2011/03/10/2011-5728/periodic-review-of-individuals-detained-at-guantaacutenamo-bay-naval-station-pursuant-to-the,
13568,Extending Provisions of the International Organizations Immunities Act to the Office of the High Representative in Bosnia and Herzegovina and the International Civilian Office in Kosovo,3/11/11,3/8/11,76 FR 13495, 2011-5903,,https://www.federalregister.gov/articles/2011/03/11/2011-5903/extending-provisions-of-the-international-organizations-immunities-act-to-the-office-of-the-high,
13569,"Amendments to Executive Orders 12824, 12835, 12859, and 13532, Reestablishment Pursuant to Executive Order 13498, and Revocation of Executive Order 13507",4/8/11,4/5/11,76 FR 19889, 2011-8642,"Amends: EO 12824, December 7, 1992; EO 12835, January 25, 1993; EO 12859, August 16, 1993; EO 13532, February 26, 2010;
;  Revokes: EO 13507, April 8, 2009;
;  See: EO 13498, February 5, 2009",https://www.federalregister.gov/articles/2011/04/08/2011-8642/amendments-to-executive-orders-12824-12835-12859-and-13532-reestablishment-pursuant-to-executive,
13570,Prohibiting Certain Transactions With Respect to North Korea,4/20/11,4/18/11,76 FR 22289, 2011-9739,"See: EO 13466, June 26, 2008; EO 13551, August 30, 2010",https://www.federalregister.gov/articles/2011/04/20/2011-9739/prohibiting-certain-transactions-with-respect-to-north-korea,
13571,Streamlining Service Delivery and Improving Customer Service,5/2/11,4/27/11,76 FR 24339, 2011-10732,"See: EO 12862, September 11, 1993; Memoranda of March 22, 1995, and March 3, 1998",https://www.federalregister.gov/articles/2011/05/02/2011-10732/streamlining-service-delivery-and-improving-customer-service,
13572,Blocking Property of Certain Persons With Respect to Human Rights Abuses in Syria,5/3/11,4/29/11,76 FR 24787, 2011-10910,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13573, May 18, 2011; EO 13582, August 17, 2011",https://www.federalregister.gov/articles/2011/05/03/2011-10910/blocking-property-of-certain-persons-with-respect-to-human-rights-abuses-in-syria,
13573,Blocking Property of Senior Officials of the Government of Syria,5/20/11,5/18/11,76 FR 29143, 2011-12645,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; EO 13582, August 17, 2011",https://www.federalregister.gov/articles/2011/05/20/2011-12645/blocking-property-of-senior-officials-of-the-government-of-syria,
13574,"Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Sanctions Act of 1996, as Amended",5/25/11,5/23/11,76 FR 30505, 2011-13173,"See: EO 12957, March 15, 1995",https://www.federalregister.gov/articles/2011/05/25/2011-13173/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-sanctions-act-of-1996-as,
13575,Establishment of the White House Rural Council,6/14/11,6/9/11,76 FR 34839, 2011-14919,,https://www.federalregister.gov/articles/2011/06/14/2011-14919/establishment-of-the-white-house-rural-council,
13576,"Delivering an Efficient, Effective, and Accountable Government",6/16/11,6/13/11,76 FR 35295, 2011-15181,,https://www.federalregister.gov/articles/2011/06/16/2011-15181/delivering-an-efficient-effective-and-accountable-government,
13577,Establishment of the SelectUSA Initiative,6/20/11,6/15/11,76 FR 35715, 2011-15443,,https://www.federalregister.gov/articles/2011/06/20/2011-15443/establishment-of-the-selectusa-initiative,
13578,Coordinating Policies on Automotive Communities and Workers,7/11/11,7/6/11,76 FR 40591, 2011-17447,"Revokes: EO 13509, June 23, 2009",https://www.federalregister.gov/articles/2011/07/11/2011-17447/coordinating-policies-on-automotive-communities-and-workers,
13579,Regulation and Independent Regulatory Agencies,7/14/11,7/11/11,76 FR 41585, 2011-17953,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",https://www.federalregister.gov/articles/2011/07/14/2011-17953/regulation-and-independent-regulatory-agencies,
13580,Interagency Working Group on Coordination of Domestic Energy Development and Permitting in Alaska,7/15/11,7/12/11,76 FR 41987, 2011-18065,"See: EO 13547, June 19, 2010",https://www.federalregister.gov/articles/2011/07/15/2011-18065/interagency-working-group-on-coordination-of-domestic-energy-development-and-permitting-in-alaska,
13581,Blocking Property of Transnational Criminal Organizations,7/27/11,7/24/11,76 FR 44757, 2011-19156,,https://www.federalregister.gov/articles/2011/07/27/2011-19156/blocking-property-of-transnational-criminal-organizations,
13582,Blocking Property of the Government of Syria and Prohibiting Certain Transactions With Respect to Syria,8/22/11,8/17/11,76 FR 52209, 2011-21505,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; and EO 13573, May 18, 2011",https://www.federalregister.gov/articles/2011/08/22/2011-21505/blocking-property-of-the-government-of-syria-and-prohibiting-certain-transactions-with-respect-to,
13583,Establishing a Coordinated Government-Wide Initiative to Promote Diversity and Inclusion in the Federal Workforce,8/23/11,8/18/11,76 FR 52845, 2011-21704,"See: EO 13078, March 13, 1998; EO 13163, July 26, 2000; EO 13171, October 12, 2000; EO 13518, November 9, 2009; and EO 13548, July 26, 2010",https://www.federalregister.gov/articles/2011/08/23/2011-21704/establishing-a-coordinated-government-wide-initiative-to-promote-diversity-and-inclusion-in-the,
13584,Developing an Integrated Strategic Counterterrorism Communications Initiative and Establishing a Temporary Organization to Support Certain Government-wide Communications Activities Directed Abroad,9/15/11,9/9/11,76 FR 56945, 2011-23891,,https://www.federalregister.gov/articles/2011/09/15/2011-23891/developing-an-integrated-strategic-counterterrorism-communications-initiative-and-establishing-a,
13585,Continuance of Certain Federal Advisory Committees,10/7/11,9/30/11,76 FR 62281, 2011-26141,"See: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12131, May 4, 1979; EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13270, July 3, 2002; EO 13515, October 14, 2009; EO 13592, December 2, 2011 ;
;  Supersedes: EO 13511, September 29, 2009;
;  Amends: EO 13515, October 14, 2009",https://www.federalregister.gov/articles/2011/10/07/2011-26141/continuance-of-certain-federal-advisory-committees,
13586,Establishing an Emergency Board to Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference and Their Employees Represented by Certain Labor Organizations,10/12/11,10/6/11,76 FR 63533, 2011-26574,,https://www.federalregister.gov/articles/2011/10/12/2011-26574/establishing-an-emergency-board-to-investigate-disputes-between-certain-railroads-represented-by-the,
13587,Structural Reforms To Improve the Security of Classified Networks and the Responsible Sharing and Safeguarding of Classified Information,10/13/11,10/7/11,76 FR 63811, 2011-26729,,https://www.federalregister.gov/articles/2011/10/13/2011-26729/structural-reforms-to-improve-the-security-of-classified-networks-and-the-responsible-sharing-and,
13588,Reducing Prescription Drug Shortages,11/3/11,10/31/11,76 FR 68295, 2011-28728,,https://www.federalregister.gov/articles/2011/11/03/2011-28728/reducing-prescription-drug-shortages,
13589,Promoting Efficient Spending,11/15/11,11/9/11,76 FR 70861, 2011-29683,"See: EO 13576, June 13, 2011; Memorandum of May 24, 2011",https://www.federalregister.gov/articles/2011/11/15/2011-29683/promoting-efficient-spending,
13590,"Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iran's Energy and Petrochemical Sectors",11/23/11,11/20/11,76 FR 72609, 2011-30463,"See: EO 12957, March 15, 1995",https://www.federalregister.gov/articles/2011/11/23/2011-30463/authorizing-the-imposition-of-certain-sanctions-with-respect-to-the-provision-of-goods-services,
